snakeid,mass_g,date,time,temp,location
G9,606.5,6/2/2020,2:59,20.105,rook
G9,606.5,6/2/2020,3:59,20.105,rook
G9,606.5,6/2/2020,4:59,19.604,rook
G9,606.5,6/2/2020,5:59,19.104,rook
G9,606.5,6/2/2020,6:59,19.104,rook
G9,606.5,6/2/2020,7:59,18.603,rook
G9,606.5,6/2/2020,8:59,18.103,rook
G9,606.5,6/2/2020,9:59,28.107,rook
G9,606.5,6/2/2020,10:59,32.104,rook
G9,606.5,6/2/2020,11:59,32.104,rook
G9,606.5,6/2/2020,12:59,32.104,rook
G9,606.5,6/2/2020,13:59,32.104,rook
G9,606.5,6/2/2020,14:59,32.104,rook
G9,606.5,6/2/2020,15:59,31.604,rook
G9,606.5,6/2/2020,16:59,30.605,rook
G9,606.5,6/2/2020,17:59,26.107,rook
G9,606.5,6/2/2020,18:59,27.107,rook
G9,606.5,6/2/2020,19:59,24.107,rook
G9,606.5,6/2/2020,20:59,22.607,rook
G9,606.5,6/2/2020,21:59,22.106,rook
G9,606.5,6/2/2020,22:59,21.106,rook
G9,606.5,6/2/2020,23:59,20.605,rook
G9,606.5,6/3/2020,0:59,20.605,rook
G9,606.5,6/3/2020,1:59,20.105,rook
G9,606.5,6/3/2020,2:59,19.604,rook
G9,606.5,6/3/2020,3:59,19.104,rook
G9,606.5,6/3/2020,4:59,18.603,rook
G9,606.5,6/3/2020,5:59,18.603,rook
G9,606.5,6/3/2020,6:59,18.103,rook
G9,606.5,6/3/2020,7:59,18.103,rook
G9,606.5,6/3/2020,8:59,19.604,rook
G9,606.5,6/3/2020,9:59,32.104,rook
G9,606.5,6/3/2020,10:59,28.607,rook
G9,606.5,6/3/2020,11:59,32.603,rook
G9,606.5,6/3/2020,12:59,31.105,rook
G9,606.5,6/3/2020,13:59,28.607,rook
G9,606.5,6/3/2020,14:59,30.106,rook
G9,606.5,6/3/2020,15:59,32.104,rook
G9,606.5,6/3/2020,16:59,31.604,rook
G9,606.5,6/3/2020,17:59,27.107,rook
G9,606.5,6/3/2020,18:59,26.107,rook
G9,606.5,6/3/2020,19:59,25.607,rook
G9,606.5,6/3/2020,20:59,25.107,rook
G9,606.5,6/3/2020,21:59,24.107,rook
G9,606.5,6/3/2020,22:59,23.107,rook
G9,606.5,6/3/2020,23:59,22.607,rook
G9,606.5,6/4/2020,0:59,21.606,rook
G9,606.5,6/4/2020,1:59,21.606,rook
G9,606.5,6/4/2020,2:59,21.106,rook
G9,606.5,6/4/2020,3:59,20.605,rook
